GRAS Substance,Other Names,SCOGS Report Number,CAS Reg. No. or other ID CODE,Year of Report,SCOGS Type of Conclusion,NTIS Accession Number
 Gum Arabic, acacia gum,1, 9000-01-5,1973,2, PB234904
 Butylated Hydroxytoluene (BHT), BHT,2, 128-37-0,1973,3, PB259917
 Carob Bean Gum,,3, 9000-40-2,1972,2, PB221952
 Gum Tragacanth,,4, 9000-65-1,1972,2, PB223835
 Sterculia Gum (karaya gum),,5, 9000-36-6,1973,2, PB234905
 Carrageenan,,6, 9000-07-1,1973,3, PB266877
 Sodium Benzoate,,7, 532-32-1,1973,1, PB223837
 Benzoic Acid,,7, 65-85-0,1973,1, PB223837
 Propyl Paraben, propyl p-hydroxybenzoate,8, 94-13-3,1972,1, PB221950
 Methyl Paraben, methyl p-hydroxybenzoate,8, 99-76-3,1972,1, PB221950
 Sorbitol,,9, 50-70-4,1972,1, PB221951
 Mannitol,,10, 69-65-8,1972,1, PB221953
 Propyl Gallate,,11, 121-79-9,1973,1, PB223840
 Gum Ghatti,,12, 9000-28-6,1973,2, PB223841
 Guar Gum,,13, 9000-30-0,1973,2, PB223836
 Oil of Rue,,14, 8014-29-7,1973,2, PB223839
 Sulfur dioxide,,15, 7446-09-5,1976,2, PB265508
 Sodium sulfite,,15, 7757-83-7,1976,2, PB265508
 Sodium metabisulfite,,15, 7681-57-4,1976,2, PB265508
 Sodium bisulfite,,15, 7631-90-5,1976,2, PB265508
 Potassium metabisulfite,,15, 16731-55-8,1976,2, PB265508
 Mustard and Oil of Mustard (Brown and Yellow),,16, 57-06-7,1975,1, PB254528
 p-Hydroxybenzyl isothiocyanate, 4-hydroxybenzyl isothiocyanate; 4-(thioisocyanatomethyl)phenol,16, 2086-86-4,1975,1, PB254528
 Allyl isothiocyanate, 3-isothiocyanato-1-propene,16, 57-06-7,1975,1, PB254528
 Garlic and Oil of Garlic,,17, 8000-78-0,1973,1, PB223838
 Nutmeg and Mace,,18, 977051-44-7;<br /> 977051-14-1,1973,3, PB266878
 Clove Stem Oil,,19, 8000-34-8,1973,1, PB238792
 Clove Leaf Oil,,19, 8000-34-8,1973,1, PB238792
 Clove Bud Oleoresin,,19, 977017-85-8,1973,1, PB238792
 Clove Bud Oil,,19, 8000-34-8,1973,1, PB238792
 Clove Bud Extract,,19, 84961-50-2,1973,1, PB238792
 Caramel,,20, 8028-89-5,1973,1, PB266880
 Zinc sulfate,,21, 7446-20-0,1973,2, PB266879
 Zinc oxide,,21, 1314-13-2,1973,2, PB266879
 Zinc chloride,,21, 7646-85-7,1973,2, PB266879
 Zinc carbonate,,21, 3486-35-9,1973,2, PB266879
 Zinc acetate,,21, 557-34-6,1973,2, PB266879
 Indian Dill Seed, dill oils,22, 8006-75-5,1973,1, PB234906
 Agar-agar,,23, 9002-18-0,1973,2, PB265502
 Sodium alginate,,24, 9005-38-3,1973,2, PB265503
 Propylene glycol alginate,,24, 9005-37-2,1973,2, PB265503
 Potassium alginate,,24, 9005-36-1,1973,2, PB265503
 Calcium alginate,,24, 9005-35-0,1973,2, PB265503
 Ammonium alginate,,24, 9005-34-9,1973,2, PB265503
 Sodium Carboxymethyl cellulose,,25, 9004-32-4,1973,1, PB274667
 Methylcellulose,,25, 9004-67-5,1973,2, PB274667
 Hydroxypropylmethyl cellulose,,25, 9004-65-3,1973,1, PB274667
 Ethyl cellulose (packaging),,25, 9004-57-3,1973,1, PB274667
" Cellulose, microcrystalline",,25, 977005-28-9,1973,1, PB274667
 Cellulose acetate(packaging),,25, 9004-35-7,1973,1, PB274667
 Cellulose,,25, 9004-34-6,1973,1, PB274667
 Carboxymethyl cellulose (packaging),,25, 9000-11-7,1973,1, PB274667
 Sodium sesquicarbonate,,26, 533-96-0,1975,1, PB254535
 Sodium carbonate,,26, 497-19-8,1975,1, PB254535
 Sodium bicarbonate,,26, 144-55-8,1975,1, PB254535
 Potassium carbonate,,26, 584-08-7,1975,1, PB254535
 Potassium bicarbonate,,26, 298-14-6,1975,1, PB254535
 Calcium carbonate,,26, 471-34-1,1975,1, PB254535
 Propylene glycol monostearate,,27, 1323-39-3,1973,1, PB265504
 Propylene glycol,,27, 57-55-6,1973,1, PB265504
 Licorice,,28, 1405-86-3,1974,2, PB254529
 Ammoniated Glycyrrhizin,,28, 53956-04-0,1974,2, PB254529
 Glycyrrhiza, licorice extract,28, 68916-91-6,1974,2, PB254529
 Caprylic Acid, octanoic acid,29, 124-07-2,1974,1, PB254530
 Glycerin and Glycerides,,30, 56-81-5,1975,1, PB254536
 Stannous Chloride, tin(II) chloride,31, 7772-99-8,1974,1, PB254531
 Sodium tripolyphosphate,,32, 7758-29-4,1975,1, PB262651
 Sodium trimetaphosphate,,32, 7785-84-4,1975,1, PB262651
 Sodium tetraphosphate,,32, 14986-84-6,1975,1, PB262651
 Sodium tetrametaphosphate,,32, 68915-31-1-2,1975,1, PB262651
" Sodium pyrophosphate, tetrabasic",,32, 7722-88-5,1975,1, PB262651
 Sodium phosphate tribasic,,32, 10361-89-4,1975,1, PB262651
 Sodium phosphate monobasic,,32, 7558-80-7,1975,1, PB262651
 Sodium phosphate dibasic,,32, 10140-65-5,1975,1, PB262651
 Sodium metaphosphate,,32, 50813-16-6,1975,1, PB262651
 Sodium hexametaphosphate,,32, 68915-31-1,1975,1, PB262651
 Sodium acid pyrophosphate,,32, 7758-16-9,1975,1, PB262651
 Potassium tripolyphosphate,,32, 13845-36-8,1975,1, PB262651
 Potassium pyrophosphate,,32, 7320-34-5,1975,1, PB262651
 Potassium polymetaphosphate,,32, 7790-53-6,1975,1, PB262651
 Potassium phosphate tribasic,,32, 7778-53-2,1975,1, PB262651
 Potassium phosphate monobasic,,32, 7778-77-0,1975,1, PB262651
 Potassium phosphate dibasic,,32, 7758-11-4,1975,1, PB262651
 Phosphoric acid,,32, 7664-38-2,1975,1, PB262651
 Calcium pyrophosphate,,32, 7790-76-3,1975,1, PB262651
 Calcium phosphate tribasic,,32, 12167-74-7,1975,1, PB262651
 Calcium phosphate monobasic,,32, 10031-30-8,1975,1, PB262651
 Calcium phosphate dibasic,,32, 7757-93-9,1975,1, PB262651
 Calcium hexametaphosphate,,32, 10102-76-8,1975,1, PB262651
 Ammonium phosphate monobasic (Report 32),,32, 7722-76-1,1975,1, PB262651
 Ammonium phosphate dibasic (Report 32),,32, 7783-28-0,1975,1, PB262651
 Sulfuric Acid,,33, 7664-93-9,1975,1, PB262652
 Ammonium sulfate,,34, 7783-20-2,1974,1, PB254532
 Ammonium phosphate monobasic (Report 34),,34, 7722-76-1,1974,1, PB254532
 Ammonium phosphate dibasic (Report 34),,34, 7783-28-0,1974,1, PB254532
 Ammonium hydroxide,,34, 1336-21-6,1974,1, PB254532
 Ammonium chloride,,34, 12125-02-9,1974,1, PB254532
 Ammonium carbonate,,34, 8000-73-5,1974,1, PB254532
 Ammonium bicarbonate,,34, 1066-33-7,1974,1, PB254532
 Sodium ferricitropyrophosphate," iron(III) pyrophosphate, soluble",35, 1332-96-3,1980,5, PB80178676
 Sodium ferric EDTA, iron(III) sodium ethylenediaminetetraacetate; monosodium iron EDTA,35, 15708-41-5,1980,5, PB80178676
 Reduced iron (packaging),,35, 7439-89-6,1980,2, PB80178676
 Reduced iron, iron,35, 7439-89-6,1980,2, PB80178676
" Iron, elemental (packaging)",,35, 7439-89-6,1980,1, PB80178676
 Iron tallate (packaging)," tall oil fatty acids, iron salts",35, 61788-81-6,1980,1, PB80178676
 Iron polyvinylpyrrolidone, iron povidone,35, 977125-47-5,1980,5, PB80178676
 Iron peptonate," iron, peptonized",35, 977009-72-5,1980,5, PB80178676
 Iron oxides (packaging), iron oxides,35, 1332-37-2,1980,1, PB80178676
 Iron naphthenate," naphthenic acids, iron salts",35, 1338-14-3,1980,5, PB80178676
 Iron linoleate (packaging)," iron 9,12-octadecadienoate, (Z,Z)-",35, 7779-63-7,1980,1, PB80178676
 Iron caprylate (packaging), iron octanoate,35, 6535-20-2,1980,1, PB80178676
 Ferrous sulfate (packaging), iron(II) sulfate,35, 7720-78-7,1980,1, PB80178676
 Ferrous sulfate, iron(II) sulfate,35, 7720-78-7,1980,2, PB80178676
 Ferrous lactate, iron(II) lactate,35, 5905-52-2,1980,2, PB80178676
 Ferrous gluconate, iron(II) gluconate,35, 6047-12-7,1980,2, PB80178676
 Ferrous fumarate, iron(II) fumarate,35, 141-01-5,1980,2, PB80178676
 Ferrous citrate, iron(II) citrate,35, 23383-11-1,1980,2, PB80178676
 Ferrous carbonate, iron(II) carbonate,35, 563-71-3,1980,2, PB80178676
 Ferrous ascorbate, iron(II) ascorbate,35, 24808-52-4,1980,2, PB80178676
 Ferric sulfate (packaging), iron(III) sulfate,35, 10028-22-5,1980,1, PB80178676
 Ferric sodium pyrophosphate, iron(III) sodium pyrophosphate,35, 10045-87-1,1980,5, PB80178676
 Ferric pyrophosphate, iron(III) pyrophosphate,35, 10058-44-3,1980,2, PB80178676
 Ferric phosphate, iron(III) phosphate,35, 10045-86-0,1980,2, PB80178676
 Ferric oxide (packaging), iron(III) oxide,35, 1309-37-1,1980,1, PB80178676
 Ferric oxide, iron(III) oxide,35, 1309-37-1,1980,5, PB80178676
 Ferric citrate, iron(III) citrate,35, 2338-05-8,1980,2, PB80178676
 Ferric chloride (packaging), iron(III) chloride,35, 7705-08-0,1980,1, PB80178676
 Ferric ammonium citrate, ammonium iron(III) citrate,35, 1185-57-5,1980,2, PB80178676
 Electrolytic Iron (packaging),,35, 7439-89-6,1980,2, PB80178676
 Electrolytic Iron,,35, 7439-89-6,1980,2, PB80178676
 Carbonyl Iron (packaging),,35, 7439-89-6,1980,2, PB80178676
 Carbonyl Iron,,35, 7439-89-6,1980,2, PB80178676
 Tocopherols,,36, 1406-66-2,1975,1, PB262653
 alpha-Tocopherol acetate, alpha-tocopheryl acetate,36, 58-95-7,1975,1, PB262653
 Red algae,,38, 977007-74-1,1973,1, PB265505
 Brown algae,,38, 977146-32-9,1973,1, PB265505
 Potassium iodide,,39, 7681-11-0,1975,1, PB254533
 Potassium iodate,,39, 7758-05-6,1975,1, PB254533
 Calcium iodate,,39, 7789-80-2,1975,1, PB254533
 Pulps (packaging),,40, 977139-78-8,1973,1, PB234907
 Aconitic Acid,,41, 499-12-7,1974,1, PB254534
 Choline Chloride,,42, 67-48-1,1975,1, PB262654
 Choline Bitartrate,,42, 87-67-2,1975,1, PB262654
 Sodium phosphoaluminate (packaging),,43, 11138-49-1,1975,1, PB262655
" Sodium aluminum phosphate, basic",,43, 7785-88-8,1975,1, PB262655
" Sodium aluminum phosphate, acidic",,43, 7785-88-8,1975,1, PB262655
 Sodium aluminate (packaging),,43, 11138-49-1,1975,1, PB262655
 Aluminum sulfate,,43, 10043-01-3,1975,1, PB262655
 Aluminum sodium sulfate,,43, 7784-28-3,1975,1, PB262655
 Aluminum potassium sulfate,,43, 7784-24-9,1975,1, PB262655
 Aluminum palmitate (packaging),,43, 555-35-1,1975,1, PB262655
 Aluminum oleate (packaging),,43, 688-37-9,1975,1, PB262655
 Aluminum hydroxide,,43, 21645-51-2,1975,1, PB262655
 Aluminum ammonium sulfate,,43, 7784-26-1,1975,1, PB262655
 Taurocholic acid,,44, 81-24-3,1975,1, PB254524
 Ox bile extract,,44, 8008-63-7,1975,1, PB254524
 Glycocholic acid,,44, 475-31-0,1975,1, PB254524
 Desoxycholic acid,,44, 83-44-3,1975,1, PB254524
 Cholic acid,,44, 81-25-4,1975,1, PB254524
 Calcium phytate,,45, 3615-82-5,1975,1, PB254539
 Calcium gluconate,,45, 299-28-5,1975,1, PB254539
 Calcium chloride,,45, 10035-04-8,1975,1, PB254539
 Calcium acetate,,45, 62-54-4,1975,1, PB254539
 Carnauba wax,,47, 8015-86-9,1975,5, PB262658
 Tannic acid (hydrolyzable gallotannins),,48, 1401-55-4,1977,2, PB274669
 Sorbose (packaging),,49, 3615-56-3,1974,1, PB254525
 Invert Sugar,,50, 57-50-1,1976,2, PB262659
 Corn Syrup,,50, 8029-43-4,1976,2, PB262659
 Corn Sugar (Dextrose),,50, 50-99-7,1976,2, PB262659
 Inositol,,51, 87-89-8,1975,1, PB262660
 Sodium thiosulfate,,52, 10102-17-7,1975,1, PB254526
 Succinic acid,,53, 110-15-6,1975,1, PB254541
 Tallow (packaging),,54, 61789-97-7,1975,1, PB262661
 Stearic acid (packaging),,54, 57-11-4,1975,1, PB262661
 Hydrogenated tallow (packaging),,54, 61789-97-7,1975,1, PB262661
 Calcium stearate,,54, 1592-23-0,1975,1, PB262661
 Butylated Hydroxyanisole (BHA),,55, 25013-16-5,1978,3, PB285496
 L-Malic acid,,56, 97-67-6,1975,1, PB262662
 Malic acid,,56, 6915-15-7,1975,1, PB262662
 Sorbic acid,,57, 110-44-1,1975,1, PB262663
 Sodium sorbate,,57, 7757-81-5,1975,1, PB262663
 Potassium sorbate,,57, 24634-61-5,1975,1, PB262663
 Calcium sorbate,,57, 7492-55-9,1975,1, PB262663
 Gelatin,,58, 9000-70-8,1975,1, PB254527
 Sodium L-ascorbate,,59, 134-03-2,1979,1, PB80128796
 Sodium erythorbate (sodium D-isoascorbate),,59, 6381-77-7,1979,1, PB80128796
 Erythorbic acid (D-isoascorbic acid),,59, 89-65-6,1979,1, PB80128796
 Calcium L-ascorbate,,59, 5743-28-2,1979,1, PB80128796
 Ascorbyl palmitate (palmitoyl L-ascorbic),,59, 137-66-6,1979,1, PB80128796
 L-Ascorbic acid,,59, 50-81-7,1979,1, PB80128796
 Magnesium sulfate,,60, 10034-99-8,1979,1, PB265509
 Magnesium stearate,,60, 557-04-0,1979,1, PB265509
