CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
 13466-78-9, 3-CARENE," &diams; 3-CARENE<br />&diams; CAR-3-ENE<br />&diams; DELTA3-CARENE<br />&diams; BICYCLO(4.1.0)HEPT-3-ENE, 3,7,7-TRIMETHYL-<br />&diams; 3,7,7-TRIMETHYLBICYCLO(4.1.0)HEPT-3-ENE<br />&diams; ISODIPRENE<br />&diams; 4,7,7-TRIMETHYL-3-NORCARENE<br />&diams; 3-CARENE, (+-)-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3821,18,25.0,,1342
 882-33-7, PHENYL DISULFIDE," &diams; DIPHENYL DISULFIDE<br />&diams; PHENYL DISULFIDE<br />&diams; PHENYLDITHIOBENZENE<br />&diams; BIPHENYL DISULFIDE<br />&diams; DISULFIDE, DIPHENYL<br />&diams; DIPHENYL DISULPHIDE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3225,4,,,578
 123-08-0, 4-HYDROXYBENZALDEHYDE," &diams; 4-HYDROXYBENZALDEHYDE<br />&diams; BENZALDEHYDE, 4-HYDROXY-<br />&diams; BENZALDEHYDE, P-HYDROXY-<br />&diams; FORMYLPHENOL, P-<br />&diams; HYDROXYBENZALDEHYDE, P-<br />&diams; OXYBENZALDEHYDE, P-<br />&diams; 4-FORMYLPHENOL", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3984,20,,,956
 586-62-9, TERPINOLENE," &diams; TERPINOLENE<br />&diams; P-MENTHA-1,4(8)-DIENE<br />&diams; 1,4(8)-P-MENTHADIENE<br />&diams; 1,4(8)-TERPADIENE<br />&diams; P-MENTH-1,4(8)-DIENE<br />&diams; TEREBEN<br />&diams; 1-METHYL-4-ISOPROPYLIDENE-1-CYCLOHEXENE<br />&diams; CYCLOHEXENE, 1-METHYL-4-(1-METHYLETHYLIDENE)-<br />&diams; 1-METHYL-4-(1-METHYLETHYLIDENE)CYCLOHEXENE<br />&diams; 4-ISOPROPYLIDENE-1-METHYLCYCLOHEXENE<br />&diams; ISOTERPINENE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,3046,3,,,1331
 5090-41-5, 9-OCTADECENAL, &diams; 9-OCTADECENAL<br />&diams; octadecenyl aldehyde<br />&diams; elialdehyde, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059,21,,,1641
 18836-52-7, N-ISOBUTYLDECA-TRANS-2-TRANS-4-DIENAMIDE," &diams; N-ISOBUTYL-2,4-DECADIENAMIDE, TRANS, TRANS<br />&diams; N-isobutyl-2,4-decadienamide, (E, E)<br />&diams; pellitorine<br />&diams; N-(2-methylpropyl)-2,4-decadienamide, (E,E)-<br />&diams; 2,4-decadienamide, N-(2-methylpropyl)-, (E,E)<br />&diams; 2,4-decadienamide, N-isobutyl-, (E,E)-<br />&diams;  InChI=1S/C14H25NO/c1-4-5-6-7-8-9-10-11-14(16)15-12-13(2)3/h8-11,13H,4-7,<br />&diams; InChIKey: MAGQQZHFHJDIRE-BNFZFUHLSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4148,22,,,1598
 142-62-1, HEXANOIC ACID, &diams; HEXANOIC ACID<br />&diams; CAPRONIC ACID<br />&diams; HEXOIC ACID, FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,173.315,,,,,,,,,,,,,,,,,,,,,2559,3,25.0,,93
 123-77-3, AZODICARBONAMIDE," &diams; AZODICARBONAMIDE<br />&diams; DIAZENEDICARBOXAMIDE<br />&diams; FORMAMIDE, 1,1'-AZOBIS-<br />&diams; 1,1'-AZOBIS(FORMAMIDE)<br />&diams; 1,1'-BIUREA, DELTA-<br />&diams; AZODICARBOXAMIDE"," DOUGH STRENGTHENER,<br /> FLOUR TREATING AGENT",,,,,,,172.806,177.121,177.26,178.301,,,,,,,,,,,,,,,,,," 136.110 ,  137.105 ,  137.200",,,,,
 100-51-6, BENZYL ALCOHOL," &diams; BENZYL ALCOHOL<br />&diams; ALPHA-HYDROXYTOLUENE<br />&diams; PHENYLCARBINOL<br />&diams; PHENYLMETHANOL<br />&diams; PHENYLMETHYL ALCOHOL<br />&diams; BENZENEMETHANOL<br />&diams; BENZENECARBINOL<br />&diams; (hydroxymethyl)benzene<br />&diams; toluenol, alpha-"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE",73.1001,,,,,,172.515,175.105,175.3,177.121,,,,,,,,,,,,,,,,,,,2137,3,,,25
 110-54-3, HEXANE, &diams; HEXANE, SOLVENT OR VEHICLE,73.295,73.3,73.3,73.315,73.345,73.615,172.34,172.56,173.27,175.105,175.32,176.2,177.12,,,,,,,,,,,,,,,,,,,,
 122-48-5, ZINGERONE," &diams; ZINGERONE<br />&diams; (4-HYDROXY-3-METHOXYPHENYL)ETHYL METHYL KETONE<br />&diams; VANILLYLACETONE<br />&diams; ZINGIBERONE<br />&diams; 2-(4-HYDROXY-3-METHOXYPHENYL)ETHYL METHYL KETONE<br />&diams; 3-METHOXY-4-HYDROXYBENZYLACETONE<br />&diams; 4-(4-HYDROXY-3-METHOXYPHENYL)-2-BUTANONE<br />&diams; 4-HYDROXY-3-METHOXYBENZYLACETONE<br />&diams; 2-BUTANONE, 4-(4-HYDROXY-3-METHOXYPHENYL)-<br />&diams; GINGERONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,3124,3,25.0,,730
 120-51-4, BENZYL BENZOATE," &diams; BENZYL BENZOATE<br />&diams; BENZYL BENZENECARBOXYLATE<br />&diams; BENZYL PHENYLFORMATE<br />&diams; BENZOIC ACID, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL BENZOATE<br />&diams; BENZOIC ACID, BENZYL ESTER"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE",,,,,,,172.515,175.105,,,,,,,,,,,,,,,,,,,,,2138,3,,,24
 123-86-4, BUTYL ACETATE," &diams; BUTYL ACETATE<br />&diams; BUTYL ETHANOATE<br />&diams; ACETIC ACID, BUTYL ESTER<br />&diams; 1-acetoxybutane<br />&diams; 1-butyl acetate", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,175.105,175.32,177.12,,,,,,,,,,,,,,,,,,,2174,3,,,127
 110-86-1, PYRIDINE, &diams; PYRIDINE<br />&diams; AZABENZENE<br />&diams; AZINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,177.158,177.1585,,,,,,,,,,,,,,,,,,,,,2966,3,,,
 110-27-0, ISOPROPYL MYRISTATE," &diams; ISOPROPYL MYRISTATE<br />&diams; ISOPROPYL TETRADECANOATE<br />&diams; TETRADECANOIC ACID, 1-METHYLETHYL ESTER<br />&diams; 1-METHYLETHYL TETRADECANOATE<br />&diams; MYRISTIC ACID, ISOPROPYL ESTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3556,11,,,311
 130-40-5," RIBOFLAVIN 5'-PHOSPHATE, SODIUM"," &diams; SODIUM RIBOFLAVIN 5'-PHOSPHATE<br />&diams; MONOSODIUM RIBOFLAVIN 5'-(DIHYDROGEN PHOSPHATE)<br />&diams; MONOSODIUM RIBOFLAVINE 5'-(DIHYDROGEN PHOSPHATE)<br />&diams; RIBOFLAVIN 5'-(DIHYDROGEN PHOSPHATE), MONOSODIUM SALT<br />&diams; RIBOFLAVINE 5'-(DIHYDROGEN PHOSPHATE), MONOSODIUM SALT<br />&diams; SODIUM RIBOFLAVINE 5'-PHOSPHATE<br />&diams; RIBOFLAVIN 5'-PHOSPHATE SODIUM<br />&diams; VITAMIN B2 PHOSPHATE, SODIUM SALT", NUTRIENT SUPPLEMENT,,,,,,,184.1697,,,,,,,,,,,,,,,,,,,,,,,,,,
 622-39-9, 2-PROPYLPYRIDINE," &diams; 2-PROPYLPYRIDINE<br />&diams; pyridine, 2-propyl-<br />&diams; conyrine", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4065,21,,,1322
 93-04-9, BETA-NAPHTHYL METHYL ETHER," &diams; 2-METHOXYNAPHTHALENE<br />&diams; METHYL BETA-NAPHTHYL ETHER<br />&diams; BETA-NAPHTHYL METHYL ETHER<br />&diams; YARA YARA<br />&diams; NEROLIN (OLD)<br />&diams; BETA-METHOXYNAPHTHALENE<br />&diams; NAPHTHALENE, 2-METHOXY-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704,25,,,1257
 93-58-3, METHYL BENZOATE," &diams; METHYL BENZOATE<br />&diams; NIOBE OIL<br />&diams; METHYL BENZENECARBOXYLATE<br />&diams; BENZOIC ACID, METHYL ESTER"," ANTIMICROBIAL AGENT,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2683,3,,,851
 59-30-3, FOLIC ACID," &diams; FOLIC ACID<br />&diams; PTEROYLGLUTAMIC ACID<br />&diams; FOLACIN<br />&diams; L-GLUTAMIC ACID, N-(4-((2-AMINO-1,4-DIHYDRO-4-OXO-6-PTERIDINYL)METHYL)AMINO)BENZOYL)-<br />&diams; N-(4-((2-AMINO-1,4-DIHYDRO-4-OXO-6-PTERIDINYL)METHYL)AMINO)BENZOYL)-L-GLUTAMIC ACID", NUTRIENT SUPPLEMENT,,,,,,,172.345,172.896,,,,,,,,,,,,,,,,,,,," 101.79 ,  101.9 ,  107.100 ,  137.165 ,  137.185 ,  137.260 ,  137.305 ,  137.350 ,  139.115 ,  139.122 ,  139.155",,,,,
 127-08-2, POTASSIUM ACETATE," &diams; POTASSIUM ACETATE<br />&diams; ACETIC ACID, POTASSIUM SALT<br />&diams; POTASSIUM ETHANOATE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2920,3,,,
 74-98-6, PROPANE," &diams; PROPANE<br />&diams; DIMETHYLMETHANE<br />&diams; PROPYL HYDRID<br />&diams; PETROLEUM GAS, LIQUEFIED<br />&diams; InChI=1S/C3H8/c1-3-2/h3H2,1-2H3<br />&diams; InChI=1S/C3H8/c1-3-2/h3H2,1-2H3<br />&diams; InChIKey: ATUOYWHBWRKTHZ-UHFFFAOYSA-N", PROPELLANT,,,,,,,173.35,184.1655,,,,,,,,,,,,,,,,,,,,,,,,,
 108-95-2, PHENOL, &diams; PHENOL<br />&diams; CARBOLIC ACID<br />&diams; HYDROXYBENZENE, FLAVORING AGENT OR ADJUVANT,,,,,,,175.105,175.3,175.38,175.39,176.17,177.121,177.158,177.241,177.26,,,,,,,,,,,,,,3223,4,25.0,,690
 3149-28-8, METHOXYPYRAZINE," &diams; METHOXYPYRAZINE<br />&diams; 2-METHOXY-1,4-DIAZINE<br />&diams; PYRAZINE, METHOXY-<br />&diams; 2-METHOXYPYRAZINE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3302,5,,,787
 7778-77-0," POTASSIUM PHOSPHATE, MONOBASIC"," &diams; POTASSIUM PHOSPHATE, MONOBASIC<br />&diams; MONOPOTASSIUM PHOSPHATE<br />&diams; MONOPOTASSIUM MONOPHOSPHATE<br />&diams; POTASSIUM ACID PHOSPHATE<br />&diams; POTASSIUM DIHYDROGEN PHOSPHATE<br />&diams; PHOSPHORIC ACID, MONOPOTASSIUM SALT<br />&diams; ORTHOPHOSPHORIC ACID, MONOPOTASSIUM SALT"," MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> STABILIZER OR THICKENER",,,,,,,175.105,,,,,,,,,,,,,,,,,,,,," 101.9 ,  160.110",,,,,
 67-68-5, DIMETHYL SULFOXIDE," &diams; DIMETHYL SULFOXIDE<br />&diams; DMSO<br />&diams; METHYL SULFOXIDE<br />&diams; SULFINYLBIS(METHANE)<br />&diams; METHANE, SULFINYLBIS-<br />&diams; METHYLSULFINYLMETHANE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.859,177.1655,177.244,,,,,,,,,,,,,,,,,,,,3875,18,,,507
 87-99-0, XYLITOL, &diams; XYLITOL," HUMECTANT,<br /> NUTRITIVE SWEETENER",,,,,,,172.395,,,,,,,,,,,,,,,,,,,,," 101.80 ,  101.9",,,,,
 93-28-7, EUGENYL ACETATE," &diams; EUGENYL ACETATE<br />&diams; ACETYL EUGENOL<br />&diams; 4-ALLYL-2-METHOXYPHENYL ACETATE<br />&diams; 2-METHOXY-4-(2-PROPEN-1-YL)PHENYL ACETATE<br />&diams; PHENOL, 2-METHOXY-4-(2-PROPENYL)-, ACETATE<br />&diams; PHENOL, 4-ALLYL-2-METHOXY-, ACETATE<br />&diams; 2-METHOXY-4-(2-PROPENYL)PHENYL ACETATE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2469,3,,,1531
 13360-64-0, 2-ETHYL-5-METHYLPYRAZINE," &diams; 2-ETHYL-5-METHYLPYRAZINE<br />&diams; PYRAZINE, 2-ETHYL-5-METHYL-<br />&diams; 2-METHYL-5-ETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154,4,25.0,,770
 58-08-2, CAFFEINE," &diams; CAFFEINE<br />&diams; COFFEINE<br />&diams; CAFFEINE, ANHYDROUS<br />&diams; 1,3,7-TRIMETHYLXANTHINE<br />&diams; GUARANINE<br />&diams; METHYLTHEOBROMINE<br />&diams; THEINE<br />&diams; 1,3,7-TRIMETHYL-2,6-DIOXOPURINE<br />&diams; 3,7-DIHYDRO-1,3,7-TRIMETHYL-1H-PURINE-2,6-DIONE<br />&diams; 1H-PURINE-2,6-DIONE, 3,7-DIHYDRO-1,3,7-TRIMETHYL-", FLAVORING AGENT OR ADJUVANT,,,,,,,182.118,,,,,,,,,,,,,,,,,,,,,,2224,3,,,
 60-12-8, PHENETHYL ALCOHOL, &diams; PHENETHYL ALCOHOL<br />&diams; BENZYLCARBINOL<br />&diams; PHENYLETHYL ALCOHOL<br />&diams; 2-HYDROXYETHYLBENZENE<br />&diams; BETA-PHENYLETHYL ALCOHOL<br />&diams; 2-PHENYLETHANOL<br />&diams; BENZYLMETHANOL<br />&diams; BENZENEETHANOL<br />&diams; 2-PHENYLETHYL ALCOHOL<br />&diams; 1-PHENYL-2-ETHANOL, FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2858,3,,,987
