cas_rn,substance,regs,syns
514-10-3,ABIETIC ACID,175.105,"['ABIETIC ACID, L-', '7,13-ABIETADIEN-18-OIC ACID', '1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-1,4A-DIMETHYL-7-(1-METHYLETHYL)-1-PHENANTHRENECARBOXYLIC ACID, (1R,4AR,4BR,10AR)-', '1-PHENANTHRENECARBOXYLIC ACID, 1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-1,4A-DIMETHYL-7-(1-METHYLETHYL)-, (1R,4AR,4BR,10AR)-', 'PODOCARPA-7,13-DIEN-15-OIC ACID, 13-ISOPROPYL-', '13-ISOPROPYLPODOCARPA-7,13-DIEN-15-OIC ACID', 'SYLVIC ACID', 'ABIETIC ACID, (-)-']"
75-07-0,ACETALDEHYDE,"177.241, 182.6","['ACETIC ALDEHYDE', 'ETHANAL', 'ACETIC ETHANOL', 'ETHYL ALDEHYDE']"
142-26-7,2-ACETAMIDOETHANOL,175.105,"['N-(2-HYDROXYETHYL)ACETAMIDE', 'N-ACETYLETHANOLAMINE', 'ACETYLETHANOLAMINE', 'ACETAMIDE, N-(2-HYDROXYETHYL)-']"
67-64-1,ACETONE,"73.1, 73.3, 73.345, 73.615, 173.21, 175.105, 175.32, 176.18, 176.3, 177.26","['DIMETHYL KETONE', 'BETA-KETOPROPANE', 'PYROACETIC ETHER', '2-OXOPROPANE', '2-PROPANONE', 'METHYL KETONE', 'DIMETHYLFORMALDEHYDE']"
977110-24-9,ACETOXYHYDROXYSTEARIC ACID,178.34,['(ACETYLOXY)HYDROXYOCTADECANOIC ACID']
101229-03-2,N-ACETYL-N-(2-HYDROXYETHYL)-N'-OLEOYLETHYLENEDIAMINE,177.28,"[""N-OLEYL-N'-ACETYL-N'-(BETA-HYDROXYETHYL)ETHYLENEDIAMINE"", 'OLEAMIDE, N-(2-(N-(2-HYDROXYETHYL)ACETAMIDO)ETHYL)-', 'N-(2-(N-(2-HYDROXYETHYL)ACETAMIDO)ETHYL)OLEAMIDE']"
77-89-4,ACETYL TRIETHYL CITRATE,"175.105, 175.3, 175.32, 178.391, 181.27","['CITRIC ACID, TRIETHYL ESTER, ACETATE', 'TRIETHYL 2-(ACETYLOXY)-1,2,3-PROPANETRICARBOXYLATE', 'TRIETHYL CITRATE ACETATE', 'TRIETHYL 2-ACETOXY-1,2,3-PROPANETRICARBOXYLATE', 'TRIETHYL ACETYLCITRATE', '1,2,3-PROPANETRICARBOXYLIC ACID, 2-(ACETYLOXY)-, TRIETHYL ESTER']"
203742-97-6,"ACID-CATALYZED CONDENSATION REACTION PRODUCTS OF BRANCHED 4-NONYLPHENOL, FORMALDEHYDE AND 1-DODECANETHIOL",178.201,"['FORMALDEHYDE, REACTION PRODUCTS WITH BRANCHED 4-NONYLPHENOL AND 1-DODECANETHIOL', '4-NONYLPHENOL, BRANCHED-FORMALDEHYDE-1-DODECANETHIOL REACTION PRODUCT']"
107-02-8,ACROLEIN,"172.892, 176.3","['ACRALDEHYDE', 'ACRYLIC ALDEHYDE', 'ALLYL ALDEHYDE', 'PROPENAL', '2-PROPENAL', 'ACRYLALDEHYDE', '2-PROPEN-1-ONE', 'PROP-2-ENAL']"
79-06-1,ACRYLAMIDE,"172.255, 173.5, 173.1, 175.105, 175.3, 175.32, 176.11, 176.17, 176.18, 177.101, 178.352","['PROPENAMIDE', '2-PROPENAMIDE', 'VINYL AMIDE', 'ACRYLIC AMIDE', 'ETHYLENECARBOXAMIDE', 'InChI=1/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)', 'InChIKey: HRPVXLWXLXDGHG-UHFFFAOYSA-N']"
9003-06-9,ACRYLAMIDE-ACRYLIC ACID RESIN,"173.5, 175.105, 176.11, 176.18","['ACRYLAMIDE-ACRYLIC ACID COPOLYMER', 'ACRYLAMIDE-ACRYLIC ACID POLYMER', 'ACRYLAMIDE-ACRYLIC ACID RESIN', 'ACRYLIC ACID, POLYMER WITH ACRYLAMIDE', 'HYDROLYZED POLYACRYLAMIDE', 'POLYACRYLAMIDE, HYDROLYZED', 'POLYACRYLAMIDE, PARTIALLY HYDROLYZED', 'POLY(2-PROPENAMIDE-CO-2-PROPENOIC ACID)', '2-PROPENOIC ACID, POLYMER WITH 2-PROPENAMIDE', '2-PROPENAMIDE-2-PROPENOIC ACID POLYMER', '2-PROPENAMIDE, POLYMER WITH 2-PROPENOIC ACID']"
