name,chebi_id,chembl_id,inchi_key,KEGG,UNII/FDA,CASRN/ID,formula,pubchem_cid,RTECS,Diff (chemid),chemspider_id
glucose,17234,CHEMBL2108700,GZCGUPFRVQAUEE-SLPGGIOYSA-N,C00031,5SL0G7R0OK,50-99-7,C6H12O6,,,,96749
sucrose,17992,CHEMBL253582,CZMRCDWAGMRECN-UGDNZRGBSA-N,C00089,C151H8M554,57-50-1,C12H22O11,5988,,,
sorbitol,17924,CHEMBL344637,FBPFZTCFMRRESA-JGWLITMVSA-N,C00794,506T60A25R,50-70-4,C6H14O6,5780,,,
mannitol,157047,CHEMBL689,SERLAGPUMNYUCK-KRRIELLYSA-N,C00392,3OWL53L36A,69-65-8,C6H14O6,6251,,,
fructose,28757,CHEMBL604608,BJHIKXHVCXFQLS-UYFOZJQFSA-N ,C00095,6YSS42VSEV,57-48-7,C6H12O6,2723872,,Fructose [USP:JAN],
fructose,,,LKDRXBCSQODPBY-ARQDHWQXSA-N,,R73GS1TJE0,7660-25-5,C6H12O6,,,Fructose,
acetic acid,15366,CHEMBL539,QTBSBXVTEAMEQO-UHFFFAOYSA-N,C00033,Q40Q9N063P,64-19-7,C2H4O2,176,,,
glutamic acid,18237,CHEMBL575060,WHUUTDBJXJRKMK-UHFFFAOYSA-N,C00025,3KX376GY7L,56-86-0,C5H9NO4,33032,,,
citric acid,30769,CHEMBL1261,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C00158,XF417D3PSL,77-92-9,C6H8O7,311,,,
ascorbic acid,29073,CHEMBL196,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C00072,PQ6CK8PD0R,50-81-7,C6H8O6,54670067,,,
benzoic acid,30746,CHEMBL541,WPYMKLBDIGXBTP-UHFFFAOYSA-N,C00180,8SKN0B0MIM,65-85-0,C7H6O2,243,,,
pectin ,17309,CHEMBL2108751,,C00714,,9000-69-5,C6H10O7,441476,RX4280000,,
pectin ,,,AEMOLEFTQBMNLQ-DTEWXJGMSA-N,,,,C6H10O7,,,,
carboxymethylcellulose,85146,CHEMBL1909054,VJHCJDRQFCCTHL-UHFFFAOYSA-N,D01544,05JZI7B19X,9000-11-07,C8H16O8,24748,,,
arabic gum,82781,,,C08822,,9000-01-05,C12H36,91333377,CE5945000,Acacia [JAN:NF],
xanthan gum,189560,CHEMBL2108814,,D06333,TTV12P4NEE,11138-66-2,C13H10O,7107,,,
xanthan gum,,,,,,11138-66-2,C8H14Cl2N2O2,,,,
maltodextrin,25140,CHEMBL2107951,,C01935,7CVR7L4A2D,9050-36-6,C12H22O11,162179169,,,
maltodextrin,,,OUMNMPVOFWGQTQ-ZUSNUIOWSA-N,,,,C13H24O11,,,,
fructooligosaccharide,190523,,FTSSQIKWUOOEGC-RULYVFMPSA-N,K10122,,26514-07-04,C72H122O61,138392202,,Idolax,
inulin,15443,CHEMBL1201646,JYJIGFIDKWBXDU-MNNPPOADSA-N,,JOS53KRJ01,9005-80-5,C228H382O191,24763,,,
sucralose,32159,CHEMBL2107529,BAQAVOSOZGMPRM-QBMZZYIRSA-N,C12285,96K6UQ3ZD4,56038-13-2,C12H19Cl3O8,71485,,,
aspartame,2877,CHEMBL171679,IAOZJIPTCAWIRG-QWRGUYRKSA-N,C11045,Z0H242BBR1,22839-47-0,C14H18N2O5,134601,,,
stevioside,9271,CHEMBL444122,UEDUENGHJMELGK-HYDKPPNVSA-N,C09189,0YON5MXJ9P,57817-89-7,C38H60O18,442089,,,
stevia rebaudiana,,CHEMBL3286183,,,,91722-21-3,C44H70O23,6918840,,"Stevia rebaudiana, ext.",
stevia,,,,,,92332-31-5,,,,Stevia,
phosphoric acid,26078,CHEMBL1187,NBIIXXVUZAFLBC-UHFFFAOYSA-N,C00009,E4GA8884NN,7664-38-2,H3O4P,1004,,,
sodium carbonate,29377,CHEMBL186314,CDBYLPFSWZWCQE-UHFFFAOYSA-L,C12603,45P3261C7T,497-19-8,CNa2O3,10340,,Sodium carbonate [NF],
sodium carbonate,,,MQRJBSHKWOFOGF-UHFFFAOYSA-L,,,5968-11-06,C-H2-O3.H2-O.2Na,,,Sodium Carbonate [USAN],
lecithin,61995,CHEMBL2107798,JLPULHDHAOZNQI-JLOPVYAASA-N,C00157,,8002-43-5,C42H80NO8P,16213884,,,
lecithin,86658,,,,,8002-43-5,C42H80NO8P,16213884,,,
